Trial,Task,Cognitive,Visual,Name,Cuisine,Rating,Reviews,Price,Distance,Score,N_Prompt,Text_Prompt,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
6,Nav,Hard,Easy,Mamnoon,Middle Eastern,4.5,29,$$$,20.7,0,practice_prompt_6.mp3,Please find a 2 dollar sign 4 star rated restaurant with more than 10 reviews,p_v_trail_6.mp3,NA,NA,NA,NA,NA
6,Nav,Hard,Easy,Tango,Spanish,4,170,$$,21.8,0,practice_prompt_6.mp3,Please find a 2 dollar sign 4 star rated restaurant with more than 10 reviews,p_v_trail_6.mp3,NA,NA,NA,NA,NA
6,Nav,Hard,Easy,Tulio,Italian,4,102,$$$,25.8,0,practice_prompt_6.mp3,Please find a 2 dollar sign 4 star rated restaurant with more than 10 reviews,p_v_trail_6.mp3,NA,NA,NA,NA,NA

7,Nav,Hard,Hard,The Kitchen,American,3.5,45,$$,3.6,0,practice_prompt_7.mp3,Go find an American restaurant with more than 4 star rating and has 2 dollar sign,p_v_trail_7.mp3,NA,NA,NA,NA,NA
7,Nav,Hard,Hard,Little Dom's,Italian,4,74,$$,12.5,0,practice_prompt_7.mp3,Go find an American restaurant with more than 4 star rating and has 2 dollar sign,p_v_trail_7.mp3,NA,NA,NA,NA,NA
7,Nav,Hard,Hard,Little Fork,American,3.5,18,$$$,13.8,0,practice_prompt_7.mp3,Go find an American restaurant with more than 4 star rating and has 2 dollar sign,p_v_trail_7.mp3,NA,NA,NA,NA,NA
7,Nav,Hard,Hard,Father's Office,American,4.5,208,$$,19.9,1,practice_prompt_7.mp3,Go find an American restaurant with more than 4 star rating and has 2 dollar sign,p_v_trail_7.mp3,NA,NA,NA,NA,NA
7,Nav,Hard,Hard,The Corner Door,American,3,54,$$$,22.7,0,practice_prompt_7.mp3,Go find an American restaurant with more than 4 star rating and has 2 dollar sign,p_v_trail_7.mp3,NA,NA,NA,NA,NA

8,Nav,Hard,Hard,Cactus,Mexican,2.5,13,$$$,2.4,0,practice_prompt_8.mp3,Locate a restaurant with less than 3 dollar sign has 4 star rating and over 100 reviews,p_v_trail_8.mp3,NA,NA,NA,NA,NA
8,Nav,Hard,Hard,Loaf Around,American,3,129,$,2.8,0,practice_prompt_8.mp3,Locate a restaurant with less than 3 dollar sign has 4 star rating and over 100 reviews,p_v_trail_8.mp3,NA,NA,NA,NA,NA
8,Nav,Hard,Hard,Yard House,American,2.5,62,$$$,3.7,0,practice_prompt_8.mp3,Locate a restaurant with less than 3 dollar sign has 4 star rating and over 100 reviews,p_v_trail_8.mp3,NA,NA,NA,NA,NA
8,Nav,Hard,Hard,Chandler's Crabhouse,Seafood,4,271,$$$,20.5,1,practice_prompt_8.mp3,Locate a restaurant with less than 3 dollar sign has 4 star rating and over 100 reviews,p_v_trail_8.mp3,NA,NA,NA,NA,NA
8,Nav,Hard,Hard,Lola,Greek,4,180,$$$,28,0,practice_prompt_8.mp3,Locate a restaurant with less than 3 dollar sign has 4 star rating and over 100 reviews,p_v_trail_8.mp3,NA,NA,NA,NA,NA
